"","family","location","mean.loc.abund"
"199","f:Bifidobacteriaceae","Philippines",0.000119596099462156
"200","f:Bifidobacteriaceae","Tanzania",0.000131676487804389
"201","f:Catenulisporaceae","Cancun",2.76193886036329e-05
"202","f:Catenulisporaceae","Lapaz",6.43726152041339e-05
"203","f:Catenulisporaceae","Ningaloo",0.000138151438861123
"204","f:Catenulisporaceae","Philippines",3.84864471063403e-05
"205","f:Catenulisporaceae","Tanzania",3.74086974263891e-05
"206","f:Corynebacteriaceae","Cancun",0.000365707804992194
"207","f:Corynebacteriaceae","Lapaz",0.000480637942091513
"208","f:Corynebacteriaceae","Ningaloo",0.00115385966005006
"209","f:Corynebacteriaceae","Philippines",0.000366736854956541
"210","f:Corynebacteriaceae","Tanzania",0.000396081267963337
"211","f:Dietziaceae","Cancun",5.84614212493811e-05
"212","f:Dietziaceae","Lapaz",7.96611419696915e-05
"213","f:Dietziaceae","Ningaloo",7.85171134796586e-05
"214","f:Dietziaceae","Philippines",5.82462512695768e-05
"215","f:Dietziaceae","Tanzania",7.56049230574127e-05
"216","f:Gordoniaceae","Cancun",0.000367544172868314
"217","f:Gordoniaceae","Lapaz",0.000506784771262835
"218","f:Gordoniaceae","Ningaloo",0.000533173996089234
"219","f:Gordoniaceae","Philippines",0.000441812103033458
"220","f:Gordoniaceae","Tanzania",0.000407497894578822
"221","f:Mycobacteriaceae","Cancun",0.00256149796406775
"222","f:Mycobacteriaceae","Lapaz",0.00257484973888466
"223","f:Mycobacteriaceae","Ningaloo",0.00309244176757055
"224","f:Mycobacteriaceae","Philippines",0.00279207955778671
"225","f:Mycobacteriaceae","Tanzania",0.00240691045736238
"226","f:Nocardiaceae","Cancun",0.000625036687961929
"227","f:Nocardiaceae","Lapaz",0.000894892101106181
"228","f:Nocardiaceae","Ningaloo",0.00136115841126396
"229","f:Nocardiaceae","Philippines",0.00104190683616457
"230","f:Nocardiaceae","Tanzania",0.000796929637579976
"231","f:Segniliparaceae","Cancun",4.57285272668058e-06
"232","f:Segniliparaceae","Lapaz",2.2096776863507e-05
"233","f:Segniliparaceae","Ningaloo",4.28967634073228e-05
"234","f:Segniliparaceae","Philippines",8.27028936424858e-06
"235","f:Segniliparaceae","Tanzania",1.05197471647008e-05
"236","f:Tsukamurellaceae","Cancun",1.75394458394044e-05
"237","f:Tsukamurellaceae","Lapaz",2.77203515963784e-05
"238","f:Tsukamurellaceae","Ningaloo",9.0386972617175e-05
"239","f:Tsukamurellaceae","Philippines",2.79909676494503e-05
"240","f:Tsukamurellaceae","Tanzania",2.94554609601025e-05
"241","f:Frankiaceae","Cancun",0.000386680765225244
"242","f:Frankiaceae","Lapaz",0.000518371865587497
"243","f:Frankiaceae","Ningaloo",0.0010146561153181
"244","f:Frankiaceae","Philippines",0.00052652915371007
"245","f:Frankiaceae","Tanzania",0.000384796848369858
"246","f:Geodermatophilaceae","Cancun",3.65168840759622e-05
"247","f:Geodermatophilaceae","Lapaz",7.74857712133229e-05
"248","f:Geodermatophilaceae","Ningaloo",0.000203833786726563
"249","f:Geodermatophilaceae","Philippines",6.79605482109968e-05
"250","f:Geodermatophilaceae","Tanzania",5.36237249966552e-05
"251","f:Glycomycetaceae","Cancun",4.25160339701716e-05
"252","f:Glycomycetaceae","Lapaz",5.8271299579218e-05
"253","f:Glycomycetaceae","Ningaloo",0.000137920424826557
"254","f:Glycomycetaceae","Philippines",6.57550232740071e-05
"255","f:Glycomycetaceae","Tanzania",5.31839751687705e-05
"256","f:Kineosporiaceae","Cancun",4.46238885516972e-05
"257","f:Kineosporiaceae","Lapaz",8.71121565422833e-05
"258","f:Kineosporiaceae","Ningaloo",0.000120403268269141
"259","f:Kineosporiaceae","Philippines",5.00747292895835e-05
"260","f:Kineosporiaceae","Tanzania",3.59481571001252e-05
"261","f:Un_Micrococcales","Cancun",3.82363281338397e-06
"262","f:Un_Micrococcales","Lapaz",6.75441895814075e-06
"263","f:Un_Micrococcales","Ningaloo",3.81031961381032e-05
"264","f:Un_Micrococcales","Philippines",3.60677042397327e-06
"265","f:Un_Micrococcales","Tanzania",3.66409702909515e-06
"266","f:Beutenbergiaceae","Cancun",4.99080510796487e-05
"267","f:Beutenbergiaceae","Lapaz",7.37713185898453e-05
"268","f:Beutenbergiaceae","Ningaloo",7.58014275384671e-05
"269","f:Beutenbergiaceae","Philippines",5.04317069845839e-05
"270","f:Beutenbergiaceae","Tanzania",3.61251168699674e-05
"271","f:Brevibacteriaceae","Cancun",7.88145285199081e-05
"272","f:Brevibacteriaceae","Lapaz",0.000125532747959189
"273","f:Brevibacteriaceae","Ningaloo",0.000194950965332029
"274","f:Brevibacteriaceae","Philippines",9.37078606800119e-05
"275","f:Brevibacteriaceae","Tanzania",8.22083703595713e-05
"276","f:Cellulomonadaceae","Cancun",5.10813479619486e-05
"277","f:Cellulomonadaceae","Lapaz",5.87119814379226e-05
"278","f:Cellulomonadaceae","Ningaloo",5.93397751017574e-05
"279","f:Cellulomonadaceae","Philippines",4.69642789788329e-05
"280","f:Cellulomonadaceae","Tanzania",4.16492277967059e-05
"281","f:Dermabacteraceae","Cancun",7.1962632846703e-05
"282","f:Dermabacteraceae","Lapaz",8.37893290277943e-05
"283","f:Dermabacteraceae","Ningaloo",0.000207793290809806
"284","f:Dermabacteraceae","Philippines",6.97759634160614e-05
"285","f:Dermabacteraceae","Tanzania",6.83694481121975e-05
"286","f:Dermacoccaceae","Cancun",3.93196905204519e-05
"287","f:Dermacoccaceae","Lapaz",5.11176907666937e-05
"288","f:Dermacoccaceae","Ningaloo",0.000136039824407106
"289","f:Dermacoccaceae","Philippines",4.87231945842179e-05
"290","f:Dermacoccaceae","Tanzania",5.92014415270787e-05
"291","f:Dermatophilaceae","Cancun",6.11753869092043e-06
"292","f:Dermatophilaceae","Lapaz",8.3351344058625e-06
"293","f:Dermatophilaceae","Ningaloo",5.67826520434928e-05
"294","f:Dermatophilaceae","Philippines",4.32654194496769e-06
"295","f:Dermatophilaceae","Tanzania",3.6361760337253e-06
"296","f:Intrasporangiaceae","Cancun",0.000141057563510511
"297","f:Intrasporangiaceae","Lapaz",0.000161948927676081
"298","f:Intrasporangiaceae","Ningaloo",0.000340397659209185
"299","f:Intrasporangiaceae","Philippines",0.000158356133303881
"300","f:Intrasporangiaceae","Tanzania",0.000137174757275921
"301","f:Jonesiaceae","Cancun",2.68096919640972e-05
"302","f:Jonesiaceae","Lapaz",2.00829311721145e-05
"303","f:Jonesiaceae","Ningaloo",7.43446631149027e-05
"304","f:Jonesiaceae","Philippines",2.72122311324468e-05
"305","f:Jonesiaceae","Tanzania",1.84538737147562e-05
"306","f:Microbacteriaceae","Cancun",0.00181753454795762
"307","f:Microbacteriaceae","Lapaz",0.00112650652108711
"308","f:Microbacteriaceae","Ningaloo",0.000881651884052163
"309","f:Microbacteriaceae","Philippines",0.00136198447718593
"310","f:Microbacteriaceae","Tanzania",0.000557735670328439
"311","f:Micrococcaceae","Cancun",0.000492222096505377
"312","f:Micrococcaceae","Lapaz",0.000508269305303024
"313","f:Micrococcaceae","Ningaloo",0.000698527162588142
"314","f:Micrococcaceae","Philippines",0.000495564090923706
"315","f:Micrococcaceae","Tanzania",0.000429160720934429
"316","f:Promicromonosporaceae","Cancun",6.46498007353787e-05
"317","f:Promicromonosporaceae","Lapaz",6.84401285468173e-05
"318","f:Promicromonosporaceae","Ningaloo",0.000120793738047215
"319","f:Promicromonosporaceae","Philippines",9.59428660309359e-05
"320","f:Promicromonosporaceae","Tanzania",5.06615441053619e-05
"321","f:Sanguibacteraceae","Cancun",4.32591871901047e-05
"322","f:Sanguibacteraceae","Lapaz",5.52151430208254e-05
"323","f:Sanguibacteraceae","Ningaloo",7.24572999708413e-05
"324","f:Sanguibacteraceae","Philippines",4.70085177589372e-05
"325","f:Sanguibacteraceae","Tanzania",2.94316548930018e-05
"326","f:Micromonosporaceae","Cancun",0.000329274627791897
"327","f:Micromonosporaceae","Lapaz",0.000436204136462665
"328","f:Micromonosporaceae","Ningaloo",0.000756847398846721
"329","f:Micromonosporaceae","Philippines",0.000441245122289614
"330","f:Micromonosporaceae","Tanzania",0.000388609777496705
"331","f:Nakamurellaceae","Cancun",5.77748711195785e-05
"332","f:Nakamurellaceae","Lapaz",7.19946514145156e-05
